"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package-lock.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\decorators\permission.decorator.ts", "TypeScript", 0, 3, 1, 4, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\cache-role-permission.dto.ts", "TypeScript", 0, 4, 0, 0, 4
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\role-with-permissions.dto.ts", "TypeScript", 0, 4, 1, 0, 5
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\guards\permission.guard.ts", "TypeScript", 0, 40, 7, 10, 57
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\guards\roles.guard.ts", "TypeScript", 0, 3, 4, 5, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseEntity\manualAuditable.entity.ts", "TypeScript", 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionRangeEnum.ts", "TypeScript", 0, -1, 0, 1, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionTypeEnum.ts", "TypeScript", 0, -3, -4, 0, -7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\RoleTypeEnum.ts", "TypeScript", 0, 7, 0, 1, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\SystemUserTypeEnum.ts", "TypeScript", 0, -7, 0, -1, -8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\token\tokens.ts", "TypeScript", 0, 16, 10, 13, 39
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\types\paginatedResult.dto.ts", "TypeScript", 0, 27, 25, 9, 61
