"filename", "language", "TypeScript", "JSON", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\notice_2025-05-27_201050.sql", "MS SQL", 0, 0, 0, 501, 78, 51, 630
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package-lock.json", "JSON", 0, 16, 0, 0, 0, 0, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package.json", "JSON", 0, 2, 0, 0, 0, 1, 3
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\readMyNote.md", "Markdown", 0, 0, -2, 0, 2, 0, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\scripts\seed.ts", "TypeScript", 344, 0, 0, 0, 364, 71, 779
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\paginatedResult.dto.ts", "TypeScript", 41, 0, 0, 0, 0, 6, 47
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\timestamp.dto.ts", "TypeScript", 13, 0, 0, 0, 1, 2, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionRangeEnum.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\enum\PermissionTypeEnum.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\lib\password.helper.ts", "TypeScript", -6, 0, 0, 0, 18, 4, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\types\paginatedResult.dto.ts", "TypeScript", -34, 0, 0, 0, -25, -10, -69
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\types\paginatedResult.interface.ts", "TypeScript", 34, 0, 0, 0, 27, 10, 71
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\utils\cursor.utils.ts", "TypeScript", 18, 0, 0, 0, 0, 5, 23
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\auth\controller\public-auth.controller.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\checkin.moduel.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\controllers\focus.controller.ts", "TypeScript", 40, 0, 0, 0, 4, 4, 48
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\controllers\personal-checkin.controller.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\controllers\public-checkin.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\create-focus.dto.ts", "TypeScript", 3, 0, 0, 0, -3, 2, 2
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\endFocus.dto.ts", "TypeScript", 13, 0, 0, 0, 2, 6, 21
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\startFocus.dto.ts", "TypeScript", 10, 0, 0, 0, 1, 5, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\focus.repository.ts", "TypeScript", 57, 0, 0, 0, 0, 3, 60
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\interfaces\focus.repository.interface.ts", "TypeScript", 5, 0, 0, 0, 32, 4, 41
